Nk,Nv_mean,Nv_std,nn_mean,nn_std,CV_mean,CV_std,Nk_str,Nv_str,nn_str,CV_str
2000,218.76,14.3534963386228,0.410714633727159,0.0298402619695927,0.880009842216711,0.0619327376541639,2000,218.76 ± 14.35,0.41 ± 0.03,0.88 ± 0.06
5000,300.84,19.1155028440162,0.331086382376744,0.0216216628456438,0.897295316097211,0.0564861029071938,5000,300.84 ± 19.12,0.33 ± 0.02,0.90 ± 0.06
10000,394.6,17.1915973780264,0.2848305458,0.0153501680061549,0.912907471036521,0.0474860858237342,10000,394.60 ± 17.19,0.28 ± 0.02,0.91 ± 0.05
50000,696.92,26.6533606258772,0.197414123335318,0.00832798725018801,0.984300019113435,0.0358300949829104,50000,696.92 ± 26.65,0.20 ± 0.01,0.98 ± 0.04
