Nk,rep,seed,N_vertices,nn_mean,nn_std,CV,hull_vol,time_s
2000,36,112381,226,0.36001995692028,0.359519152661626,0.998608954173158,265.453951882444,0.00400675
2000,37,112382,210,0.43990463373866,0.376180230971889,0.855140414809477,260.81890695612,0.0039085
2000,38,112383,198,0.420590926607989,0.319193334771319,0.758916359288992,262.988931334841,0.004153375
2000,39,112384,244,0.416359974185671,0.359479318304288,0.86338586942073,268.699859040912,0.00388854166666667
2000,40,112385,194,0.475749849104948,0.359576902895866,0.75581086062845,260.425013389825,0.00416575
2000,41,112386,232,0.420200445511587,0.360221608033354,0.857261366286249,257.371793737246,0.00423079166666667
2000,42,112387,242,0.373742465651566,0.345789919143343,0.92520907020964,256.003157098773,0.00438775
2000,43,112388,228,0.413772814075103,0.389078067580626,0.940318102943335,256.772686057771,0.00413020833333333
2000,44,112389,222,0.381575004142804,0.318278212836398,0.834117039588061,259.368212058991,0.00438958333333333
2000,45,112390,234,0.364091416389927,0.367808640866574,1.01020959107881,262.660761942798,0.00437929166666667
2000,46,112391,214,0.415303681468407,0.343986078618052,0.828276015762263,261.405563626366,0.004429375
2000,47,112392,230,0.407350151931771,0.348782111676855,0.856221876984287,258.29232886179,0.00416095833333333
2000,48,112393,206,0.427205484593831,0.35606716908659,0.833479863736121,259.925706762983,0.00392375
2000,49,112394,210,0.434283781855217,0.353409712380751,0.813775985073678,258.117104725412,0.00368545833333333
2000,50,112395,232,0.379729225051226,0.36608996554333,0.964081617615668,257.195035522462,0.00443770833333333
5000,1,212346,310,0.334205794561924,0.318250869009165,0.952260176776191,246.424826294499,0.008291375
5000,2,212347,288,0.33049080980681,0.275040724521202,0.83221897965023,240.507313974261,0.00688508333333333
5000,3,212348,310,0.338769420205088,0.311663532042588,0.919987205025499,250.791703796059,0.00775504166666667
5000,4,212349,290,0.330684400535803,0.299436263049566,0.90550465206219,246.263906998144,0.00721366666666667
5000,5,212350,330,0.314599404503614,0.305264813951317,0.970328645195545,248.448549135225,0.00770125
5000,6,212351,318,0.351709645990326,0.278525533094039,0.791918948682175,248.10138921517,0.00686383333333333
