Nk,N_target,rep,seed,poolN,forcedN,N_vertices,nn_mean,nn_std,CV
5000,301,1,220001,3000,105,301,0.719811436683404,0.321873560855768,0.447163721569679
5000,301,2,220002,3048,105,301,0.727818240119209,0.325311743533801,0.446968385239313
5000,301,3,220003,3054,105,301,0.735123431131041,0.330609244807881,0.449732971100125
5000,301,4,220004,3024,105,301,0.728325947204285,0.318450332574794,0.437236011976755
5000,301,5,220005,2990,105,301,0.728243568097396,0.32368657658696,0.444475709456139
5000,301,6,220006,3110,105,301,0.720560958440301,0.351194554508808,0.4873904843096
5000,301,7,220007,3036,105,301,0.72172543494037,0.325802205606434,0.451421260542594
5000,301,8,220008,3104,105,301,0.730612342623932,0.320412497872885,0.438553360215831
5000,301,9,220009,3040,105,301,0.73787765248958,0.345074741734782,0.467658480468284
5000,301,10,220010,3054,105,301,0.722486293609287,0.329977689532637,0.45672518973915
5000,301,11,220011,3070,105,301,0.727568863739652,0.333410535191581,0.458252890974298
5000,301,12,220012,3084,105,301,0.71593228562724,0.330732576147835,0.461960694869452
5000,301,13,220013,2994,105,301,0.730406047472522,0.33114859701399,0.453376034001755
5000,301,14,220014,3042,105,301,0.72169100531052,0.347626384951064,0.481683133630703
5000,301,15,220015,2982,105,301,0.705199422134914,0.338076788743971,0.479405935586958
5000,301,16,220016,3042,105,301,0.712236847998572,0.341406237548783,0.479343688139914
5000,301,17,220017,3052,105,301,0.733221093985593,0.328463902054486,0.447973885024291
5000,301,18,220018,3058,105,301,0.715996021002613,0.344268347936783,0.480824387061122
5000,301,19,220019,3076,105,301,0.71551702521006,0.355376215813541,0.496670523960223
5000,301,20,220020,3022,105,301,0.723653908601008,0.323357499703185,0.446839982289753
5000,301,21,220021,3096,105,301,0.733965643552582,0.327424277174777,0.446103002301251
5000,301,22,220022,2978,105,301,0.738028192011599,0.301232119884234,0.40815801231547
5000,301,23,220023,2964,105,301,0.734165398898297,0.322683005730036,0.439523581762721
5000,301,24,220024,3022,105,301,0.734988133546016,0.337508921546965,0.459203225388991
5000,301,25,220025,3040,105,301,0.748704425999553,0.308612189457475,0.412194958037632
5000,301,26,220026,3120,105,301,0.734546017845784,0.323447234315388,0.440336243689629
5000,301,27,220027,3048,105,301,0.718664392356416,0.298545245245521,0.415416776482589
5000,301,28,220028,3024,105,301,0.723623647921935,0.309778953576223,0.428094016089482
5000,301,29,220029,2974,105,301,0.723219357279525,0.341814994859367,0.472629764979113
5000,301,30,220030,3136,105,301,0.7256232544875,0.337475181634195,0.465083195097641
5000,301,31,220031,2996,105,301,0.745770760162019,0.302261702784869,0.405301091074156
5000,301,32,220032,3062,105,301,0.733515425649287,0.312536414976155,0.426080221420711
5000,301,33,220033,3024,105,301,0.73031926893314,0.348259790429182,0.476859649257131
5000,301,34,220034,3004,105,301,0.723586952606052,0.351552908253423,0.485847494882652
5000,301,35,220035,3044,105,301,0.730414047349212,0.335520825974706,0.459357027965664
5000,301,36,220036,3202,105,301,0.727411853915837,0.33381017283913,0.458901200251478
5000,301,37,220037,3046,105,301,0.723825208946432,0.33503151842498,0.46286246221327
5000,301,38,220038,3086,105,301,0.727031470146098,0.340849980796565,0.468824245982187
5000,301,39,220039,3018,105,301,0.736267895716461,0.329146961855358,0.447047825622039
5000,301,40,220040,2952,105,301,0.733267637512936,0.326049972547424,0.444653433299341
5000,301,41,220041,3114,105,301,0.727912064284447,0.355761878187254,0.488742934267721
5000,301,42,220042,3094,105,301,0.718456546864386,0.360233652124168,0.501399359079354
5000,301,43,220043,3064,105,301,0.744040199553892,0.293709647033664,0.394749701978153
5000,301,44,220044,3070,105,301,0.724539861052942,0.34157103833609,0.47143167228881
5000,301,45,220045,2984,105,301,0.743850838629386,0.331682878875599,0.445899717592247
5000,301,46,220046,3054,105,301,0.710542376351371,0.362428665771102,0.510073259292669
5000,301,47,220047,3148,105,301,0.727271029904585,0.33713429136666,0.463560732524834
5000,301,48,220048,3080,105,301,0.735766116130748,0.30544336421822,0.415136491776066
5000,301,49,220049,3090,105,301,0.738264171592826,0.330116482702203,0.447152246315796
5000,301,50,220050,3034,105,301,0.742181516216987,0.317559628503968,0.427873264915863
10000,395,1,320001,3854,138,395,0.617677997705782,0.289213219433866,0.468226520141692
10000,395,2,320002,3990,138,395,0.619179873513268,0.284105355286381,0.458841392363658
10000,395,3,320003,3862,138,395,0.625250633647396,0.286875305914597,0.458816497699669
10000,395,4,320004,3962,138,395,0.624669718218996,0.281529986275162,0.450686143515707
10000,395,5,320005,3864,138,395,0.620693656431878,0.285363698062262,0.459749660891823
10000,395,6,320006,3850,138,395,0.621403573999563,0.284143499631278,0.457260806857667
10000,395,7,320007,3948,138,395,0.624171778943194,0.27879078799239,0.446657150158919
10000,395,8,320008,3978,138,395,0.628851794420864,0.284904883536081,0.453055689852108
10000,395,9,320009,3940,138,395,0.620752847312394,0.289266603339143,0.465993196151333
10000,395,10,320010,3954,138,395,0.61347814209596,0.294740037822947,0.480440976781931
10000,395,11,320011,3828,138,395,0.610519552955213,0.297673588173243,0.48757420910167
10000,395,12,320012,3986,138,395,0.621471501316231,0.293221021790376,0.47181732576531
10000,395,13,320013,3886,138,395,0.628541483508154,0.271196006197013,0.431468746793535
10000,395,14,320014,3862,138,395,0.625168213620234,0.277243939343917,0.44347094638489
10000,395,15,320015,3860,138,395,0.61267769786983,0.279534654744805,0.456250742791352
10000,395,16,320016,3850,138,395,0.618456931770199,0.295814451217584,0.478310511244298
10000,395,17,320017,3878,138,395,0.617154474380442,0.267680610804,0.433733565770099
10000,395,18,320018,3938,138,395,0.62358339647722,0.278246537684052,0.446205815061686
10000,395,19,320019,3798,138,395,0.627053545352561,0.270403158924816,0.431228179680862
10000,395,20,320020,3832,138,395,0.628485921973764,0.267837154801427,0.426162536720445
10000,395,21,320021,3864,138,395,0.623497430384378,0.287882778594103,0.461722478016672
10000,395,22,320022,3854,138,395,0.629073126934802,0.282144621170185,0.448508462831582
10000,395,23,320023,3928,138,395,0.614716274152016,0.303791030825773,0.494197150132139
10000,395,24,320024,3902,138,395,0.617321285653742,0.2934881030824,0.475421972160893
10000,395,25,320025,3976,138,395,0.624448491581242,0.286292230822284,0.458472131299939
10000,395,26,320026,3842,138,395,0.632260231067683,0.27542250020376,0.435615726990547
10000,395,27,320027,4014,138,395,0.622390570391394,0.301711128426563,0.48476172805258
10000,395,28,320028,3854,138,395,0.61213326834656,0.279788325577941,0.457070935441364
10000,395,29,320029,3868,138,395,0.620096445748394,0.2783135534989,0.448823010367368
10000,395,30,320030,3930,138,395,0.620257610218044,0.283683260446107,0.457363611139542
10000,395,31,320031,3858,138,395,0.630873526803792,0.27702231666181,0.439109115998724
10000,395,32,320032,3916,138,395,0.605527576768126,0.295034526629407,0.487235491741088
10000,395,33,320033,3960,138,395,0.615924849429384,0.294130155007607,0.477542276919174
10000,395,34,320034,3946,138,395,0.63455652551582,0.279539375654022,0.440527146776703
10000,395,35,320035,3984,138,395,0.621683616851118,0.291745260212115,0.469282529415574
10000,395,36,320036,3910,138,395,0.625834006871213,0.281870059946552,0.450391089093623
10000,395,37,320037,3810,138,395,0.624084054029468,0.281447224121196,0.450976470723777
